With article id: c24983f3-70bc-4e1e-b1ab-75d559adc338 and link: http://www.cnn.com/2015/09/05/us/tropical-storm-grace/index.html
'640324923706097665'	Tropical Storm Grace forms in eastern Atlantic http://t.co/yNbAvOswLH
'640329087538475008'	Tropical Storm Grace forms in eastern Atlantic http://t.co/WuTv7vEN1P
'638820221415849985'	#NHC Tropical Update Tropical Storm FRED Wind Speed Probabilities Number 12 http://t.co/DQ2szkAh4F AutoTweet
'646613380422172672'	#NHC Tropical Update Tropical Storm IDA Wind Speed Probabilities Number 20 http://t.co/WvEii4NtgV AutoTweet
'640327577853276160'	Tropical Storm Grace forms in eastern Atlantic http://t.co/v94usdsDv6
'640034480661626880'	Tropical Storm Kevin: About 340 miles west of Baja California tip. Wind: 45 mph. Pressure: 1001 MB http://t.co/pYcTRSYU78
'642278212282662913'	A TROPICAL WAVE IS PRODUCING CLOUDINESS, SHOWERS AND THUNDERSTORMS  MAINLY OVER THE NORTHERN LESSER ANTILLES AREA.
'641923706462179328'	Henri evolves into tropical storm: Tropical Storm Henri became the eight named storm of the Atlantic hurricane… http://t.co/4Tzcc5Ndjd
'638524370470731776'	RT @twc_hurricane: #Hurricane #Fred moving over the Cape Verde Islands w/ max winds of 85 mph; latest forecast: http://t.co/l8kxSAJqLN http…
'649194622904836096'	Tropical update: Tropical Storm Joaquin is now Hurricane Joaquin.
'640489645201948672'	Forecast for Afternoon: Fair with winds from the southwest at 17 mph and gusts up to 29 mph.
'649056321166307328'	Tropical Storm #Joaquin now a 70-MPH storm...hurricane watch has been issued for the Central Bahamas. http://t.co/IH4WJLgzYc
'638974460549206016'	TS Fred moving away from Cape Verde Islands http://t.co/uYvM3cp8km
'640269285370138624'	BREAKING NEWS: Tropical Storm Grace forms south of the Cape Verde Islands in the Atlantic.
'645703621561053184'	#NHC Tropical Update Tropical Storm IDA Wind Speed Probabilities Number 10 http://t.co/duQglwvmzh AutoTweet
'640374553873481728'	Tropical Storm Grace forms in eastern Atlantic: http://t.co/PzBw6Lvi4Q
'638727318421262336'	#Fred pulls away from Cape Verde http://t.co/quOVRSuDeA
'645798377314082816'	#NHC Tropical Update Tropical Storm IDA Wind Speed Probabilities Number 11 http://t.co/TWmTk6y9ux AutoTweet
'640327596484354048'	Tropical Storm Grace forms in eastern Atlantic http://t.co/42F3fSAlu1
'640326817526583297'	Tropical Storm Grace forms in eastern Atlantic http://t.co/5PKh7LAN6h
'640277363989676032'	Tropical Storm Grace forms in eastern Atlantic http://t.co/EeIuXvdL9K
'638637452807114753'	Always learning! Cape Verde islands now actually Cabo Vurd Islands #namechange #backtoroots https://t.co/HrVr1fqbgh
'640268263478460417'	TROPICAL STORM GRACE: 7th Tropical Storm of the season forms in the Eastern Atlantic. Where is Grace going?... http://t.co/UNoM94T92h
'640327599084826624'	Tropical Storm Grace forms in eastern Atlantic http://t.co/l2ZOY244h8
'640457485900480512'	RT @weatherlindsay: #Grace stronger at 5 AM w 45 mph winds. To strengthen but then weaken late wk with shear. No threat to US as of now htt…
'640992131058823168'	Tropical Storm #Grace will likely dissipate east of the Lesser Antilles. #FLwx #FLKeys #KeyWest http://t.co/SzjVhpjsPb
'640626575638040576'	T.S. #Grace is strengthening with 50 mph winds, however the system is expected to weaken in the extended forecast. http://t.co/HEdxqDzSR5
'640281173827153920'	Tropical Storm #Grace has formed south of the Cape Verde Islands in the eastern Atlantic http://t.co/QxzXMeYJnF
'641276056037687296'	#Grace has weakened to a #depression; will continue its westward track toward Lesser Antilles: http://t.co/N1KbFS6jHe http://t.co/pYVyxBYT4S
'638557186633932800'	BREAKING: Fred weakens to a tropical storm as it passes over Cape Verde Islands
'638554390933147648'	Fred lashes Cape Verde http://t.co/qL2HfTn4dL
'639175003875897344'	#NHC Tropical Update Tropical Storm FRED Wind Speed Probabilities Number 16 http://t.co/HWGItu0NXv AutoTweet
'649192576457818112'	Tropical storm #Joaquin becomes a hurricane: http://t.co/sXItcUuOD2 #breaking
'638676548166488066'	RT @BBGAfrica: The Cape Verde Islands are Threatened by their First Hurricane Since 1892  http://t.co/BO00Irma7l
'640489640697270272'	Forecast for Morning: Fair with winds from the southwest at 17 mph and gusts up to 29 mph.
'640271946542747648'	#BREAKING: Tropical Storm Grace forms over the far eastern Atlantic.
'641608854665580546'	RT @SteveWAFB: 50th anniversary of Hurricane #Betsy landfall. Benchmark storm for #BatonRouge until Gustav rivaled it in 2008. #LAwx http:/…
'638765831439060993'	Rare Hurricane Hits Cape Verde http://t.co/FIbIkKgHgg
'643955238576107520'	System south of Cape Verde Islands likely to become tropical depression, forecasters say http://t.co/gY4tIQdzXH
'640264154037776384'	RT @grant_gilmore: Tropical Storm #Grace develops 285 mi. SW of the Cape Verde Islands. Storm has 40mph winds. http://t.co/jCxXNYg4SR
'640325426359894017'	Tropical Storm Grace forms in eastern Atlantic http://t.co/56kbzZcEhK
'640355596869369856'	Looks like I missed the formation of Tropical Storm #Grace earlier today. Still WAY out in Atlantic, over 2000 mi east of Lesser Antilles.
'640264821103943681'	View from #space of new tropical storm Grace in the Atlantic Ocean this Saturday! Winds of 40 MPH. #Grace http://t.co/CGzkxC1Jxm
'640564946888056832'	Winds will be blowing from the east near 17 mph or 28 km/h.
'640275863171284992'	Tropical Storm Grace forms in the Atlantic, 7th named storm of hurricane season http://t.co/75eUZFDdTL
'640444335385804800'	#Grace remains a Tropical Storm with winds of 45 mph, and a minimum pressure of 1004 mb http://t.co/BJSxNybqfa
'640489639321571328'	Forecast for Overnight: Becoming fair with winds from the southwest at 17 mph and gusts up to 29 mph.
'640328574990290944'	Tropical Storm Grace forms in eastern Atlantic http://t.co/qh0AjrGQlu
'638638577019060224'	Cape Verde islands now Cabo Verde Islands #namechange  H/T @WXmel6 @Ginger_Zee @nsj  https://t.co/HrVr1fqbgh
'640995223095480320'	RT @chrisholcomb Tropical Storm #Grace is still a tropical storm in the Atlantic. It will weaken as it moves west.… http://t.co/9KDejzcKbU
'649154387944833024'	Tropical Storm #Joaquin =Max sustained winds 70 mph. Should become hurricane. Track still uncertain beyond Friday. http://t.co/MxTpVLrHXG
'638724366612713472'	Cape Verde islands 'escape major hurricane damage' http://t.co/dpG8MaXF3s via @BBCNews
'639139718769184768'	RT @disasteraware: TS Fred continues to weaken as it moves away from the Cape Verde Islands http://t.co/OO57SEOPSo http://t.co/RYE2QmY579
'641205646143193088'	#Grace is likely to weaken to a tropical rainstorm prior to reaching the Lesser Antilles. http://t.co/FSj6Ob4KEH
'640263547444826113'	Tropical Storm #Grace develops 285 mi. SW of the Cape Verde Islands. Storm has 40mph winds. http://t.co/jCxXNYg4SR
'640261028169826304'	Tropical Storm Grace: 5 PM ET, 40 mph winds, 1007 mb, moving  at 14 mph. http://t.co/sKyxJx3r3u
'641807701001961472'	#NHC Tropical Update Tropical Storm HENRI Wind Speed Probabilities Number 5 http://t.co/IcQn6wTjxK AutoTweet
'640944533140729856'	Scott Fisher Says: Tropical Storm Grace packing wind gusts of 58 mph. http://t.co/5DwfRkf8PT
'640627294390910976'	RT @KateWentzelWTSP: T.S. #Grace is strengthening with 50 mph winds, however the system is expected to weaken in the extended forecast. htt…
'640822413542817792'	SC Headlines: Tropical Storm Grace moving west across the Atlantic: Tropical Storm Grace is moving west across... http://t.co/bSjT95sYB4
'638543284051120128'	Hurricane Fred lashes Cape Verde Islands http://t.co/C6yVxxqttg
'640992598535110656'	RT @NWSKeyWest: Tropical Storm #Grace will likely dissipate east of the Lesser Antilles. #FLwx #FLKeys #KeyWest http://t.co/SzjVhpjsPb
'640944817233465344'	RT @ScottFisherFOX7: Scott Fisher Says: Tropical Storm Grace packing wind gusts of 58 mph. http://t.co/5DwfRkf8PT
'640664412580286464'	Forecast for Afternoon: Becoming fair with winds from the southwest at 17 mph and gusts up to 29 mph.
'640325427223879680'	Tropical Storm Grace forms in eastern Atlantic http://t.co/vBEPARdMRv
----------
With article id: 5d4e4fbf-b220-4f42-aed5-153725b27070 and link: http://latestnigerian.com/okowa-urges-oil-companies-to-create-jobs-in-host-communities/
'649160540728655872'	SCMP: Next Technologist programme run by JP Morgan and HKSTP to help 200 companies, create 500 jobs in bid to… http://t.co/lxBn9yh3Ea
'640825030641885184'	RT @JeremyLind2: My interview with @ChadCeleste: have oil companies learnt anything from the Niger Delta crisis? http://t.co/g3AvCqJDCA via…
'643955100466020352'	Bayelsa tragedy: ERA demands $28m from Agip http://t.co/rHWbHxlowQ
'648395438974889984'	I'm not a 'go-slow' Governor - Okowa - http://t.co/jwAdNJ3t0K
'645561831155625984'	@librab103 @Pol_Sec_Analyst Western oil companies provide the infrastructure and technology to pump the oil - Libyans don't have it.
'645467832646529024'	Every society needs viable opposition - Governor Okowa - http://t.co/QdFRIRPrW9
'645286616689278976'	Every society needs viable opposition - Governor Okowa - http://t.co/1VOGHgBg8j
'648335025029693441'	I'm not a 'go-slow' Governor - Okowa - http://t.co/owQGWMWoOw
'640671595824967680'	Assets declaration: Okowa urges Nigerians to be concerned about Buhari’s change promise http://t.co/GoBQDD1fSU
'648274617841418241'	I'm not a 'go-slow' Governor - Okowa - http://t.co/VbAC9wdUAu
'640794007610724353'	RT @MNRKurdistan: UPDATED: MNR Authorizes Payments to the Exporting International Oil Companies http://t.co/diEf6aFXSh @MNRKurdistan
'643285150802014208'	Realex payments to create 50 jobs In Dublin's Docklands.
'642683777295196160'	@SirZuma Ifeanyi! Lmao! Smh
'643857758857641987'	NTA International News With Ifeanyi Okafor Tuesday, @7pm 15-09-2015 https://t.co/1SyfpwjBzV
'646004544346783744'	Bayelsa protests against oil spills from Agip facilities http://t.co/XpjJy6dSz3 #Nigeria #News
'639742114876792833'	Okowa: A governor walking his talk http://t.co/iseVt5j6b7 @vanguardngr.com
'638936021799841792'	Sector Update: Oil marketing companies will be positively impacted by drop in crude oil prices
'645837819361931264'	Why Markets?, By Uddin Ifeanyi http://t.co/LQSCXrGCvH http://t.co/1criwbe0HR
'644992082684178432'	Retweeted #BringBackOurGirls (@MKabrik):It's unfortunate that host communities of oil companies that are making... http://t.co/DZR1jH5GgU
'640835182547849216'	RT @IDS_UK: Have oil companies learnt from Niger Delta crisis @JeremyLind2 speaks to @ChadCeleste #resourcepol @ConversationEDU http://t.co…
'648335122551324672'	Nigeria at 55: Gov. Okowa calls for prayers: Gov. Ifeanyi Okowa of Delta on Sunday called for prayers and show... http://t.co/ixFqjunvJO
'640782125696983044'	RT @MNRKurdistan: MNR Authorizes Payments to the Exporting International Oil Companies http://t.co/diEf6aFXSh @MNRKurdistan
'639002806691753984'	#Angola must cut back due to oil price fall: cenbank governor  http://t.co/STAu1ph9wY
'640487112672968704'	Agip oil explosion: Imo asks NESREA to review spillage level http://t.co/Jp0zm16QJ4
'644660977754112000'	Amokachi has not resigned – Ifeanyi Uba - http://t.co/FaUdHt3Tmu
'646021579609124864'	Okowa tasks oil firms on employment -  http://t.co/90LyColm3b http://t.co/NlITDS40qo
'640674793834938371'	The Federal Mortgage Bank of Nigeria (FMBN), at the weekend, commended Enugu State Governor, Mr. Ifeanyi... http://t.co/EQBXYl4bUT
'646383986520952832'	Why students should create their own jobs and companies http://t.co/YXptNIoTIm
'640807460517867520'	Eishtec, to create 200 jobs in Clonmel Co. Tipperary.
'644326933237526530'	Amokachi has not resigned – Ifeanyi Uba http://t.co/9uiqCHw5m9 @vanguardngr.com
'644992066150363137'	RT @MKabrik: It's unfortunate that host communities of oil companies that are making profits live in this kind of situation. http://t.co/WM…
'648876594711412736'	IBM to create 110 jobs in Ireland  http://t.co/xmwA1nUc6c
'641817532022697984'	#Russia keen to host #Brunei #oil companies http://t.co/TeUZYiqtpi
'640781706690207744'	RT @MNRKurdistan: MNR Authorizes Payments to the Exporting International Oil Companies http://t.co/diEf6aFXSh @MNRKurdistan
'646100167888908288'	Okowa tasks oil firms on employment -  http://t.co/BuWYdv183d http://t.co/Rferb6uLf5
'640775005203140609'	NNPC to recover over $9bn oil companies owe Nigeria: The Nigerian National Petroleum Cooperation (NNPC) has co... http://t.co/kGLK4gqXrS
'641172342396317696'	Gov Ifeanyi of Delta,advise Nigerians to be concerned with change process rather than Pres  Buhari's personal wealth http://t.co/nWHCbEktFZ
'640900384777760768'	RT @Ed_Crooks: US oil and gas companies are on course for a record cash outflow, after burning more than $30bn in the first half: http://t.…
'639742101329084417'	Okowa: A governor walking his talk http://t.co/w2BGSXwj1T @vanguardngr.com
'644796474639843328'	Revoke AGIP operating licence for eccocide in oil communities –ERA/FoEN tells FG http://t.co/KaIxwaLN1a
'646100156698509312'	Okowa tasks oil firms on employment -  http://t.co/BuWYdv183d http://t.co/HJc4DhTUrq
'644804658091950080'	Pick n Pay chairman Gareth Ackerman has challenged SA companies: "How are you going to create jobs for the future.?".
'645837765515608064'	Opinion: Why Markets?, By Uddin Ifeanyi http://t.co/LQSCXrYdUh
'640793658309087233'	UPDATED: MNR Authorizes Payments to the Exporting International Oil Companies http://t.co/diEf6aFXSh @MNRKurdistan
'648366302168350721'	Banking Digital Disrupters, By Uddin Ifeanyi http://t.co/fJ4wcSiwUZ http://t.co/vJiOw3XxSe
'643291973768470528'	The Cost of Dropping off JPMorgan’s Index , By Uddin Ifeanyi http://t.co/l14uhBpBM6 http://t.co/yGvrlI7YSM
'648944172775288832'	Governor Okowa to Establish Three Industrial Parks http://t.co/iz786DqpSk
'647654940307943428'	SPORTS | Ifeanyi Ubah and His Football Lessons http://t.co/qOakYzrdTR
'648360578541555712'	Opinion: Banking Digital Disrupters, By Uddin Ifeanyi http://t.co/nfcnJv3MiU
'640820132705619968'	OGA: “Irrespective of the oil price, the UK offshore oil and gas industry needs to change....
'640903040476704768'	Efforts to indigenize oil and gas sector in turmoil: Efforts by government to ensure that the oil and gas sect... http://t.co/kDX6VxcLdz
'645407436963123200'	Every society needs viable opposition - Governor Okowa - http://t.co/d4AdEzm8Zp
----------
With article id: 515100e7-e13c-4a1e-8abd-86748b375e11 and link: http://www.mb.com.ph/pacquiao-buries-5-treys-for-a-career-best-19-pts/
'640900322718838784'	Has Sen Bernie Sanders in his long career ever introduced a bill that got passed?
'642035598425853952'	RT @rapplerdotcom: Manny Pacquiao feels 'vindicated' by Mayweather IV controversy http://t.co/UX7Ap6mlWw http://t.co/M6Th1q4kwA
'642944961046908928'	Manny Pacquiao Takes A Jab Floyd Mayweather During The Fight; Floyd Says He's Officially Retired [VIDEO] http://t.co/5kxlGoHki1
'641046310620110848'	Because this team wasn't this team. https://t.co/aIsmNMFjl4
'640813886908698624'	JUST IN: Davao City Mayor Rodrigo Duterte says he isn't running in #Halalan2016
