With article id: 0db352b5-25b0-46fc-84a2-2a9845c9b585 and link: http://www.lexisnexis.com/uk/lexispsl/privateclient/document/413991/5GWF-N9G1-DYJH-V1WD-00000-00
'642659857095622656'	@RobHakala finally some relief!
'640974395742285824'	@KeeleyWilson well they're really reasonably priced...
'646315976053555200'	Hindus and others http://t.co/2LgYlNukhO
'644248227877883904'	'Fit for work' claimant deaths: Cameron backs Duncan Smith and blocks inquiry http://t.co/oxhPeCBpCW http://t.co/JyIc1L09Ia
'641423167328776192'	6-2 Serena in the first set, 6-1 Venus in the second set, third set should be fun!
'639505610900422656'	From the archives: Refugee claimant jailed with no charge, no sentence, no oversight http://t.co/EaeH4Acdo6 http://t.co/5NO9MLSthe
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'641662880522203136'	@alexgriendling i love how Jobs made such a big deal about the exact size of the first iphone and ipad, and now all that is out the window.
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'646090529244073984'	@racecrafteryt Whew! That's a relief. ;)
'641555534265499648'	Relief from the heat and humidity on the way to the midstate: Relief is in sight, in the form of rain and… http://t.co/d1k2u4EM4s
'643188505062047748'	@JohnBrewinESPN no. He only bought the good ones. The others were bought by the Transfer Committee.
'638757576671383552'	Stockpiling players should be the first thing addressed in regulations.Either play % of games for parent or permanent transfer elsewhere!
'645862396985253888'	@ns_brady just said it's arguable, is all
'639200578720165892'	Local Dominica relief effort grows Dominica relief http://t.co/2pScgQQ8rH
'647411662509764610'	reasonably packed news week
'648501089264869376'	BanKiMoon: "Four years of diplomatic paralysis by the Security Council and others have allowed the crisis to spin out of control."
'647901422193799169'	Boykin-to-Doctson, for relief
'642831108611141633'	@psflaps Well that's an arguable point.
'640966441978757120'	If they had meant to scapegoat 1 Minister to save the rest of the 9, it would imply that somehow evidence on others was leaked #Egypt
'639505611168837632'	From the archives: Refugee claimant jailed with no charge, no sentence, no oversight http://t.co/RqwI4eYQ8v http://t.co/CKXCBF6JHs
'649053233881681920'	. @CTDems revise their declaratory judgment against election regulators: http://t.co/8SYl0wqnWP
'641288082273103873'	@RichHoward84 @sama Boeing. Cunard. And many others ;)
'643703908834103296'	@ThatTimWalker But others will be radicalised by the intensity and enthusiasm of the moment.
'646614082678820864'	@Gilesyb question for the Chancellor and Lord O'Neill among a plethora of others
'642651251277176832'	@TheOutlaw180 yes, bet365 and some others
'641184333303300096'	India's economic fundamentals reasonably strong: FM @arunjaitley
'641694033966829568'	@rahulsood ...and we are the only technology first base company out of all of them.
'641688436106231808'	The ads are accompanied by a Telegram number: "whoever would like to pay the ransom for release and transfer can contact the following."
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'641692960443072512'	@PrideofSpuyten Carlos Delgado also had 13 home runs in his first 35 games with the Mets.
'646683207715397634'	@arosto_ the controller of the budget reports reveal a lot...and what of the others?
