With article id: 7ba01d52-a333-461d-bd91-a3bd9d5c043c and link: http://www.express.co.uk/sport/football/604700/Transfer-News-Chelsea-Pogba-Manchester-United-De-Gea-Liverpool-AC-Milan-swap
'640695064524525569'	Low unworried by Gotze´s Bayern troubles http://t.co/5L74AJQrvI http://t.co/N2Q2WCVKS1
'643880590840737792'	RT @5liveSport: GOAL! #MCFC 1-1 #Juventus Pogba puts it on a plate for Mandzukic 'What a ball from Pogba' Pat Nevin #UCL http://t.co/WJW79t…
'644944140002721793'	Transfer Talk: Sakho pens New Liverpool Deal http://t.co/9bwBqjsZED http://t.co/XjQc912JZf http://t.co/O2voahlQBC
'644944129512747008'	Transfer Talk: Sakho pens New Liverpool Deal http://t.co/9bwBqjsZED http://t.co/XjQc912JZf
'643132552832794624'	Manchester United still rue Paul Pogba exit as Juventus midfielder prepares for first return to city - via @Telegraph http://t.co/YvIrh66Qp3
'638727886027927552'	Global football's wealth inequality: Bayern, Bundesliga can't match Premier League cash  http://t.co/CiLGSTypZi
'642672882196291585'	Chelsea doing a Chelsea
'638657504214446080'	RT @VictorMoses: Delighted to sign a new deal at Chelsea and now looking forward to a good season with West Ham http://t.co/6PNruouDsd
'638612170905886720'	Lol @ De Gea deal collapsing. What a shambles? Manchester United are a cold cold club.
'638737815564591104'	RT @BayoPsalm: DONE DEAL: Daniele Bonera- from AC Milan to Villarreal. Free transfer..#DeadlineDay
'639489003373223936'	Now United and Madrid both are trying to "seduce" De Gea with new deals. United improving on their €10m a year deal very soon!
'640558115662856192'	I MIGHT STAY AT JUVENTUS - POGBA: Paul Pogba has revealed he is considering ignoring interest from Barcelona t... http://t.co/cZLUyk16Nx
'648946798208397312'	RT @K1Says: Gotze makes it 3-0 for Bayern https://t.co/N9s3A4sdaK
'642525548296699904'	Eden Hazard admits Chelsea are struggling to adapt to life as Premier League champions.http://t.co/0dnTVH6vgg
'642628382967009281'	Transfer Talk: Martinez Hints At Stones Move To Chelsea http://t.co/ddFZ7OKAba http://t.co/dhoO3C06LH http://t.co/AXbWhLwPQx
'649250283109904384'	RT @standardsport: Bayern Munich toast their Champions League advantage over #Arsenal http://t.co/2mLNNzHVoO http://t.co/YDoyZD1Ab9
'642268763786747904'	David De Gea looks set to agree new United deal and stay at Old Trafford http://t.co/uhR014fmt3
'644944129802133505'	Transfer Talk: Sakho pens New Liverpool Deal http://t.co/8Eb2CYfHWf http://t.co/VeV5KSk2fW
'640552225790685184'	RT @iAmBolar: Man Utd are reportedly targeting a swap deal involving Borussia Dortmund midfielder Marcos Reus and Adnan Januzaj.
'645668881772613632'	Juventus end win drought to snap worst start in decades: MILAN, Italy, Sept 21 — Frenchman Paul Pogba created ... http://t.co/M5K8laNvRu
'642665250626609152'	Everton v Chelsea: Premier League – live! http://t.co/MSN5renFLc
'639539762068652036'	Bayern Munich to set up refugees 'training camp' - well done Bayern  http://t.co/peCMwZRssp
'642628376964890624'	Transfer Talk: Martinez Hints At Stones Move To Chelsea http://t.co/0WONCndahL http://t.co/QWFRnolwpH
'648641037515259904'	Bayern Munich train ahead of Champions League meet with Dinamo Zagreb http://t.co/MdmVnJ35fS http://t.co/6jrvWPNopL
'642397149376983041'	RT @OscaRankinG: Tomorrow is Everton vs Chelsea, Man Utd vs Liverpool and Atletico vs Barca. Just attend your wedding alone.
'642734086767771648'	PLTV showing the league table. “BUT WHERE ARE CHELSEA? ALL THE WAY DOWN HERE!” (Still one place ahead of Tottenham.)
'638608785213390848'	RT @ChrisOguguo: BREAKING: Paul Pogba arrives for medicals at Stamford Bridge. #DeadlineDay http://t.co/vPrsluZHJL
'638760812346150912'	Man Utd complete £36m Martial deal http://t.co/2m9X047JdC #THN24EN
'645801169588064256'	Fit-again Pogba inspires Juve! http://t.co/wS5o80rYO2 http://t.co/OeaC10AivA
'645796198339579904'	Fit-again Pogba inspires Juve! http://t.co/biGhQ4BKor http://t.co/0LujgnwmJw
'638713938788548610'	Real Madrid pin blame on Man Utd for De Gea deal collapse http://t.co/fSgsdhBTyJ #Nigeria #News
'639004424522731520'	Pogba To Chelsea, Pedro To Man Utd And The Summer Transfers That Failed To Happen http://t.co/wc4XbyOND5 http://t.co/sTpfCdaksd
'638634086374969344'	RT @IndyFootball: Will Chelsea sign Paul Pogba today? http://t.co/6ugORosqxj #CFC http://t.co/7Iwuep6cdd
'640552314051411968'	RT @iAmBolar: Juventus midfielder Paul Pogba is still preparing himself for a departure with Chelsea and Man City keeping tabs on the Frenc…
'642789919878971393'	RT @IndyFootball: Juventus woes leave £70m Paul Pogba in the shop window http://t.co/xXQrHClIhr http://t.co/7PtMGncMIR
'640476454359310336'	Chelsea bid over a billion Rand for Paul Pogba before the transfer window closed, but must now wait until... http://t.co/nBJ96ZcMNI
'640702574954348544'	Low unworried by Gotze´s Bayern troubles http://t.co/nb6Q5BeFlq http://t.co/lNBW8irVwb
'638605511147962368'	David De Gea to Real Madrid deal 'collapses' after chaotic transfer deadlock with Manchester United http://t.co/WPWRzoWc6Z
'643330779003678720'	Paul Pogba back in Manchester as the one that got away from both United and City -- via @Telegraph http://t.co/YvIrh66Qp3
'643880392496254976'	RT @MiguelDelaney: That Pogba pass is perfection.
'640558605234671617'	I MIGHT STAY AT JUVENTUS - POGBA http://t.co/Fr5LsSVyu8
'642733314340716545'	Chelsea have the worst goal difference in the Premier League.
'640878174851756032'	The amazing Pogba http://t.co/Bpxs4YINHf
'642369506447360001'	RT @iamOkon: De ages after signing new contract: "Manchester United is a special club and Old Trafford is an ideal place for me to continue…
'638642190936207360'	David De Gea to Real Madrid deal 'collapses' after chaotic transfer deadlock with Manchester United: Mancheste... http://t.co/pjEBOGE70n
'645083793884246016'	RT @ItsDavidFish: Standard agent!? # PES2016 #POGBA #PS4share http://t.co/qNWlkXjmOG
'643025372406239232'	RT @iamOkon: Manchester City are set to miss out on summer transfer target Paul Pogba. Sunday Express says he's poised to join Barcelona ne…
'642441836829609984'	I want Pogba To Enjoy Freedom - Allegri: Massimiliano Allegri has encouraged Paul Pogba to play with freedom a... http://t.co/34fP3KeqFp
'649075681641435136'	Champions League: Lewandowski nets hat-trick as Bayern crush Dinamo 5-0: MUNICH, Sept 30 — Robert Lewandowski’... http://t.co/zIHgljBd14
'649103332527767552'	RT @AllFootballLive: Arsenal's next 2 Champions League games are against Bayern Munich.Good luck. http://t.co/z82Ersyk0n
'645725016332435456'	I Don't feel any extra responsibility - Pogba http://t.co/d9gxQEwup1 http://t.co/qCtuUKxgtO
'643872475382722562'	RT @worldsoccertalk: This Manchester City fan has a message for Pogba.. #MCFC #Juventus #UCL http://t.co/kKHvQ3Uwjg
'642525547201986560'	Eden Hazard admits Chelsea are struggling to adapt to life as Premier League champions.http://t.co/2sMo7wwAZ8
'642628367544512512'	Transfer Talk: Martinez Hints At Stones Move To Chelsea http://t.co/ddFZ7OKAba http://t.co/dhoO3C06LH
'648686296664309761'	Bayern Munich train ahead of Champions League meet with Dinamo Zagreb http://t.co/t81zG4e860 http://t.co/q0GdwNCDeA
'646433212277858305'	RT @GameYetu: Sir Alex Ferguson reveals why Paul Pogba left Manchester United http://t.co/dh44IRyC8g http://t.co/wPJeUFN3Ks
'643887716120268801'	RT @HugoCassivi: @brendanshowbiz Pogba's magic pass is what's happened. #ForzaJuventus
'638644599011971072'	RT @BBCTransferNews: BREAKING - Paul Pogba will join Chelsea next summer after Chelsea and Juventus reached an agreement. He will remain at…
'638642604930822144'	David De Gea to Real Madrid deal 'collapses' after chaotic transfer deadlock with Manchester United: Mancheste... http://t.co/bjiCW53NAf
'639351069278097408'	RT @IndyFootball: Chelsea warned that Paul Pogba value could increase http://t.co/AqJsOjaNLy #CFC http://t.co/bDk3tOJOnK
'641493670924001280'	RT @iamOkon: Pogba on his Juve future: "It was never clear that I would leave and there's no reason I can't continue here for longer, let's…
'646260928112140288'	Navas 'cried' at failed Man Utd deal: http://t.co/Xbdg6KMxD2
'639237747362787328'	Juventus say Pogba could be worth more than US$112.884m: MILAN, Sept 3 — Midfielder Paul Pogba could be worth ... http://t.co/u771PjxOzY
'645725022347112448'	I Don't feel any extra responsibility - Pogba: Paul Pogba does not feel any extra pressure to leadJuventus aft... http://t.co/a4xSLeCK3T
'638737748975878144'	RT @BayoPsalm: DONE DEAL: 26-year old defender Papy Djilobodji- from Nantes to Chelsea. 4-year deal..#DeadlineDay
