With article id: c8005766-131a-441a-bd69-00adaa3901f7 and link: http://www.watoday.com.au/environment/conservation/environmental-philanthropist-rob-purves-warns-that-green-groups-under-attack-20150918-gjpavd.html
'644301013155876865'	Riveting group shot here
'642684102659993600'	72' Penalty: Spot-kick to Forest and a red card for Rob Green...#NFFC (0-1)
'639635605476012032'	RT @jestyn: Chris Purves &amp; panel at the London launch  @UBS Future of Finance Challenge  #UBSinnovate http://t.co/uRrDaktm5Y http://t.co/QY…
'647053818371313664'	RT @edatpost: "It is important that today, as in the past, the voice of faith continue to be heard, for it is a voice of fraternity and lov…
'642967826567852032'	#TRE : Goodwood 2015: a personal album: #gallery-4214-1 {margin: auto;}#gallery... http://t.co/RHbuzhrDPl #F1LiveStream
'643414968281513984'	@deepakmohoni Support group, right?
'640291515898691585'	@rakeshsatyal @iSmashFizzle *group hug*
'643163101156786176'	@STLeevs @DangeRussWilson Group hug!
'644952787856568321'	@johnmdudley I'm with the boys in green 
'647938335349075969'	Photo gallery: Florida 28, Tennessee 27See full gallery: http://t.co/sLlZOLisEb http://t.co/A1sA7ribEn
'644752803500527616'	A man is reunited with his wedding ring after it was lost in a lake back in 1976. The story: http://t.co/rQg1vIxAqS
'639568364596129792'	Green groups 'risk losing relevance' over uranium stance: environmental consultant http://t.co/XwMahsls0c
'648928029079638016'	Rob Schneider's Comedy Series 'Real Rob' Coming to Netflix (Exclusive) http://t.co/GNdlR9hycp http://t.co/vcC5AC9a7w
'642651547571236864'	Group hug ?
'644700630297133056'	GALLERY: Check out our season gallery of @Dylan_Walker6!http://t.co/H0E9lhaPO9#GoRabbitohs http://t.co/tuKWUp3wia
'644858521222144000'	@AsimBajwaISPR confirms TTP claim as he says the attack was made by one of the splinter groups of TTP.
'642072592770138112'	Number 17 is truly stunning in our Flickr group gallery http://t.co/PLo6RX7JIt http://t.co/HyoetEZuga
'640748658317615104'	Break out in green this holiday week: With the September school holidays under way, agencies and green groups ... http://t.co/9g2Gy4vtX6
'641213457069703168'	He has a great shot now until it gets out that he is, in fact, Black and the money from outside groups pours in for Rep incumbent.
'643488543449419776'	Environmental groups appeal $225 million Exxon settlement http://t.co/MOb97zLIAq
'641593161035333632'	Exclusive: Find out how Rob Kardashian is gearing up for his big comeback! http://t.co/qVh7au5cqz
'640042071710126080'	New Photo Gallery: Gallery Friday, September 5, 2015 http://t.co/CSZIBuWXhV
'642998183971430400'	@ArjanZevenaar East side gallery
'646988619748519936'	Group date/orgy #BacheloretteAU
'644377504900231172'	Green groups want #EPD boss #AnissaWong replaced http://t.co/jKJtUklKn9
'641771715542913024'	Rob Kardashian is on a mission to lose weight: He's down 15 pounds! Get the #enews report: http://t.co/VWfWy0alqS
'639489362099576832'	@DanHannanMEP of leaving and I don't also share the view that it is the last opportunity because I think the EU is in a deep crisis and will
'645345779348033536'	@jshaunAU2006 Group think
'642180314450784256'	RT @ESPNStatsInfo: Rob Gronkowski is the first player in NFL history with multiple games of 3 receiving touchdowns against the Steelers
'644862002985336832'	Why is it a negative that the president of the United States was able to make policy and not succumb to a lobby? http://t.co/IgA0azrBNb
'644758815712366592'	The new Rob Lowe cartoon is so dumb it'll make you wonder if it's intentional. It's not: http://t.co/4aQpBBQPim http://t.co/ej60UAzmfl
'644813217420701696'	The light at the end of the pitlane just turned Green, and #FP1 of the #SingaporeGP is GO for 90 minutes of on track action #F1
'644979772653727744'	RT @CTVNewsScott: Environmental groups voice outrage after BC gov quietly green lights logging in the #Walbran valley. @wildernews @CTVNews…
'644774026984951808'	There is a broken down car in lane 1 at the W/B exit of the A12 Green Man Tunnel, please drive with caution in the area.
'644590901143162880'	It is no doubt of shame and embarrassment to Fransman that it is a DA government which is the leader in South Africa at caring for the poor
'645858904757243905'	Green groups call on Malcolm Turnbull to keep tax-deductible status http://t.co/e1J77vzGtx
'648571624501850112'	RT @WBCSaysRepent: It is a people of no understanding: he that made them will not have mercy on them, and he that formed them will shew the…
'644993881705160704'	RT @darcyspencer: Animal groups upset over plan to review Trap Neuter Return program for DC's alley cats. Live report coming up http://t.co…
'642720078161645568'	Gap to Quintana group listed at 3’28”. 4’20” to Aru group. 7’39” to Dumoulin group. #LV2015
'649011191797448704'	Photos: Vancouver Art Gallery releases design for new $350M gallery http://t.co/r7HJM3wY3X http://t.co/W33V8ireZp
'644055894813200384'	RT @tololodj: @RediTlhabi I was hoping that that the march would also go to the JSE as there is a lot of corruption in the private sector a…
'647321652888338432'	GALLERY: Check out the season gallery of @Rendiggiti!http://t.co/mWUyE0qQEM#GoRabbitohs http://t.co/IgrposuqEE
'640545894241312768'	@rgstone1 A Green supporter Rob...I knew that....what's that say about CBC vote compass
'644982229341470721'	Canandaigua Lake plagued by blue-green algae, lots of it. http://t.co/gQL6Y4ZbUF via @SOrr1 photo by @cfortiz_dandc http://t.co/APhwnrOGVA
'644694036704559104'	Photo gallery: Central vs. CarterSee full gallery: http://t.co/SwoH4yj1E8 http://t.co/MwZnydqc1W
'644147999397031936'	RT @SteveRannazzisi: it is to the victims of 9/11 and to the people that love them--and the people that love me--that I ask for forgiveness.
'638840012654686208'	RT @brianrhester: Meanwhile, outside groups now also spending in #ohsen to attack @robportman's poor environmental record: http://t.co/1I2p…
'644835654266847232'	GREEN LIGHT! SKD is in the corner and the Roosters lead 24-8. KTC #UNLEASH #NRLRoostersBulldogs
'638565453800079361'	L-R: Group managing director, LEADERSHIP Group, Mr Mike Okpere; former president Olusegun Obasanjo and group... http://t.co/hLl6KSQQPx
'640581089459724288'	RT @ClintSmithIII: We also have to ask ourselves why it is easier for us to be numb to the suffering of some groups of people and not other…
'645835580568244224'	RT @joekellyoz: @rharris334 A unilateral action from Rob Harris. Consultation and proper process abandoned! Bitterness brewing at destabili…
'639000344337453057'	RT @tebete99: @imanrappetti That's the problem right there,afriforum is paranoid that they are under attack. Other ethnic groups r currentl…
'642556980868083713'	Nevermind. Gallery still doesn't rotate
'638720739194105856'	Green groups launch multi-million dollar attack on GOP senators on climate rule: http://t.co/hym4zqlnmx http://t.co/0BHAt8ink0
'645858995354345473'	Green groups call on Malcolm Turnbull to keep tax-deductible status http://t.co/UO146lmnwS
'643756782037409792'	RT @OliverKamm: A Corbyn special on @TimesOpinion podcast: @PCollinsTimes, Libby Purves, @montie &amp; I debate Labour's prospects. https://t.c…
'646992714798501888'	GROUP HUG #BacheloretteAU
'644883843099455488'	Environmental philanthropist Rob Purves warns that green groups under attack: An unlikely environmentalist lea... http://t.co/uaIn1amyvs
'649185345041530880'	Environmental goods are products that directly contribute to protection of the environment and help mitigate climate change. #EGA
'642177139098451969'	Rob Gronkowski is the first player in NFL history with multiple games of 3 receiving touchdowns against the Steelers
'645891976584232960'	RT @FoEAustralia: Green groups call on Malcolm Turnbull to keep tax-deductible status, end the ‘ideological attack' http://t.co/HAW5ALrHOy …
----------
