With article id: 8b31120e-d654-45b4-a5df-8fef674339d8 and link: http://investor.wallstreetselect.com/wss/news/read?GUID=30678534
'645560951295606784'	Good morning. ATL-NYG. MetLife. #nfl http://t.co/78G4Jd2xii
'643217375102373888'	RT @AnnaSChapin: A+ read from @mariasherm- scream-singing along with 50k girls at MetLife was the hilite of this 27 year old's summer http:…
'638656722337312768'	#HongKong Monetary Authority increases injections to HK$15.5 billion to defend currency peg @business
'639039122972274689'	Debt owed to municipalities increases to R100 billion - Malcolm Figg MP: http://t.co/NzcCRyFZTe
'646248354087895040'	RT @AFP: #UPDATE Volkswagen shares continue to plunge, hitting a low of 126.60 euros. VW has lost more than 15 billion euros. http://t.co/8…
'647797512984784896'	We're getting pumped for Sunday.Check out the activities at the new Jets Experience on the MetLife Plaza! http://t.co/b3AJ7yH4Vm
'641448223408832512'	Cerner plans $245M stock repurchase program http://t.co/AQXYy4I5kJ http://t.co/58oHiMffHC
'648622227383025664'	Metlife Inc (MET) Stock Ready To Move Back Up - Rick Pendergraft: Over the last two months, few stocks have been a... http://t.co/ajLnH8rXG6
'647111014731894784'	Long Term China Story Intact Despite Slowdown Says Voya Strategist http://t.co/58bIHsBNgO
'643046028288110593'	Ready for  at MetLife. And on @NFLNetwork #nfl http://t.co/aOhXR13fNn
'646226511687585792'	UPDATE 1-Finland's Outokumpu warns of bigger third-quarter loss http://t.co/KG5kVyVFBs
'646440976479682560'	Metlife boosts share buyback program to US$1 billion: Metlife Inc , the largest U.S. life insurer, said it has... http://t.co/5slUWRzlLB
'639148494738034688'	Catch some #CSR news with @cliffgmj http://t.co/CSsiIKLc73 #Financial Health in Three Countries via @MetLife
'646356016473309184'	London Stock Exchange update: #FTSE 100 closes at 5,935.84, down 2.83%http://t.co/y0iZ35m72j
'642422450404356097'	Now on @CR_Mag http://t.co/drx7llGtGd Winners of @MetLife's #Financialinclusion Challenge innovate to improve financial access for the poor
'641322976869249024'	Cerner plans $245M stock repurchase program $CERN http://t.co/AQXYy4I5kJ http://t.co/d1Ba7I28PL
'647186711886360576'	LIVE on #Periscope: On the field at MetLife Stadium. Neat!  https://t.co/8OM2X1yWK6
'646244316742971392'	#UPDATE Volkswagen shares continue to plunge, hitting a low of 126.60 euros. VW has lost more than 15 billion euros. http://t.co/8QmlBFy6jr
'646756344612167680'	BRAZIL'S CENTRAL BANK CALLS SECOND AUCTION TO SELL DOLLARS WITH REPURCHASE AGREEMENTS ON WEDNESDAY
'649014569285763072'	Defense authorization bill unveiled amid opposition from Democrats http://t.co/hmq77bA3RX
'639400852747259905'	MetLife Names Argonaut New Creative Agency http://t.co/5XGcIlyCpw http://t.co/DpHxyWPhjI
'646324452226035712'	London Stock Exchange update: #FTSE 100 currently at 5994.79, down 1.88%http://t.co/PcVyLygFzA
'649120442553397248'	BREAKING: Russian parliament to consider authorization for foreign combat missions http://t.co/Tdry25IXhn http://t.co/DJOtRWjowg
'641622126387154944'	Repurchase price in Tianjin set as 1.3 times the house market price http://t.co/MSgGQRo02p
'639550625852821508'	Tim Tebow, back at MetLife. He'll play half for #Eagles. #nfl http://t.co/O8fYQdqt2E
'648094980427358208'	Truly a green day at MetLife. PHL-NYJ. #nfl http://t.co/zAT4V7ff04
'644879717338906624'	Theralase Submits Investigational Testing Authorization to Health Canada for Approval $TLT:CA $TLTFF http://t.co/mMFmlUnRep
'643167769484242944'	Winners of @MetLife's #Financialinclusion Challenge innovate to improve financial access for the poor http://t.co/rjAt34pXsa
'641365448252981248'	$35 million share repurchase program approved at $PBPB. Pretty early for Potbelly to be buying back shares, no?
'638742673935855616'	(today) MOVES-Metlife, Nomura, Credit Suisse, Macquarie http://t.co/IIGvQFNwiF
'641355546629566464'	.@MetLife closing #Somerset site; 136 could lose #jobs http://t.co/JbLuSc9LbB
'645668245626863616'	It’s halftime here at MetLife. #ATLvsNYG http://t.co/d9V3u8onez
'639338498038870016'	7 essential steps to build a $1 billion company http://t.co/v1OiOiGGye
'641143972279128065'	PNB Metlife Poll: What companies can do to retain talent. #CareerTipshttp://t.co/o1PGPuRTBd http://t.co/Q95zVIwvJh
'639130772159512576'	.@HRBlock jumped the most of any company in the S&amp;P 500 after announcing a long-awaited share repurchase plan http://t.co/Ei7rpWzvGW
'642431282505510914'	Monster Beverage $MNST authorizes new $500 mln share repurchase program, to replace the now exhausted prior $200 mln program
'646353382274400256'	Total declares its first quarter 2015 interim dividend of 0.61 euro per share http://t.co/WqetBVB0Wj
'646220288884015104'	.@rsprasad: Cabinet approves stock limit on pulses, edible oil for 1 more year. http://t.co/nFJlf5MdW0
'643947467633889280'	Lafayette commercial drone company receives FAA authorization   http://t.co/F8NgbytUNW
'646250214773264384'	London Stock Exchange update: #FTSE 100 currently at 5994.9, down 1.91%http://t.co/ydwYpP30UW
'645587775480295424'	Off to MetLife #ATLvsNYG http://t.co/VNIxAaNsaK
'639128136878264322'	RT @chrislhayes: @EliLake about the same number that opposed the Iraq authorization.
'646213853731164160'	#Cabinet: Approves stock limit on pulses, edible oil for 1 more year: CIS
'646511344473149440'	Metlife boosts share buyback program to $1 billion http://t.co/7LRRxZ52iU #Finance
'644045076130172928'	UPDATE 1-Glencore raises $2.5 billion in share placement http://t.co/Gcytl7OcFB
----------
With article id: be8e1b0d-6512-495d-8b55-40b0320a513e and link: http://markets.financialcontent.com/ceoworldbiz/news/read?GUID=30679054
'646080289727385600'	RT @theloop: Apple refunding all purchases of Peace app - http://t.co/dxoAWW93Fb
'649264774941904896'	The Terry Fox Run for Cancer scheduled for 11 a.m. at the Vibank school has been canceled due to the hold and secure (2 of 2)
'645167995719938048'	Payback scheme to improve environment management: http://t.co/f4A9YOT3xv http://t.co/EZonFYJDUT
'646757505033457664'	The TTPS is “pleased” to announce that serious crimes are down - Trinidad &amp; Tobago Express http://t.co/1CBAqjrOUx
'648314961349885952'	Denise Jewell Gee: Closing of Eckl’s in Orchard Park is end of an era. http://t.co/AMS9PkuTyt http://t.co/1XQiRsz019
'646619973666930688'	The National Government will help county governments to create capacity to develop modern systems to enhance county own source revenue.
'644301120752480256'	New: Erie County's financial future is looking bright. http://t.co/7WbAn0qhZY
'639025473683591168'	30 degrees is our high for today with a mix of sun and cloudy.  Tomorrow 27, with the chance of showers and thunderstorms in the afternoon.
'641589396005875712'	3 questions to improve your time management: http://t.co/Tk5Qj9nP4D http://t.co/istfs6H0UU
'645592531632267264'	RT @AnjuliCBC: Line up to register for the Terry Fox run at Point Pleasant Park #cbcns #halifax http://t.co/sCPdHOXHAt
'645019085873524740'	Orchard Park police say this is the earliest they've seen people http://t.co/6tJpxZnmIE
'641164464981565440'	Smile Closes USD365 Million Financing to Accelerate its 4G LTE Network Expansion in Africa: -Smile Telecoms Ho... http://t.co/vULaRCIqW5
'645689390321258497'	A total of 70,858 fans attend #BillsvsPats in Orchard Park.
'638830184213295104'	@MylesUdland no baby bonds
'644393362024304640'	Abdullah says that investment in the health sector is also an investment into the stability and economy of the country
'644454144191827968'	@dlknowles Chortle chortle.
'639348890664177664'	Governor Signs Refunding of Bonds http://t.co/I1UyQM7MaE
'639790328258670592'	@babybadger366 I'm getting charged interest! They've been pretty good at refunding me before.
'646689369072340992'	NTPC Tax Free Bonds September 2015 – Do Not Invest to Hold to Maturity http://t.co/RpCpMPcmic
'644500164305031168'	At 10:30 I will be introducing to the community our Poverty Committee of local leaders who will help us combat poverty in Erie County.
'638653499505438721'	Govt vows to improve state budget management: The government has vowed to improve the management of the state ... http://t.co/xOwSeFK0J3
'646804518504693762'	The latest waterfront project in Buffalo is underway.http://t.co/l4Bsc7bfjp
'646569345238208512'	We are thrilled to announce the successful applicants for the QWC/@HachetteAus Manuscript Development Program http://t.co/3N9qjDXlQs
'645190188503707648'	MVA rollover - EMPIRE BL/ORCHARD PARK BL, Irondequoit #roc
'641081039092232192'	Next on @cbschicago As a Fox Lake Cop is laid to rest, the search continues for his killers... and some in the community are afraid.
'645785084625158144'	Macquarie On  Crompton: Expect Significant Re-rating On A Sharper Focus From New Management
'645511510681350144'	Payback scheme to improve environment management in Mindanao watershed: http://t.co/DX4zJSvhSY http://t.co/K48jlxTR4H
'648369494717394944'	BONDS: Marikal Solar raises Rs4.3bn from 3yr bonds http://t.co/J9b5o3ajlE
'642660833969983488'	RT @SophieRunning: Labour leadership result reveals institutional failure to see women as viable leaders. My statement for @WEP_UK https://…
'646075799729238016'	Apple refunding all purchases of Peace: http://t.co/Dmw6TTfZNV
