With article id: 4a8f4814-0fd9-4ab0-8c4c-c873b56269ff and link: https://www.newshub.org/rex-ryan-sends-message-names-four-former-dolphins-captains-18683208.html
'641026387231404032'	RT @Liz_Mathews: Russell Wilson, Bobby Wagner and Jon Ryan selected as team captains.  #Seahawks
'645940735070633984'	Rex Ryan: ‘Belichick outcoached me’ http://t.co/Fe7Eeo1IUl
'644322379347443714'	Rex Ryan on the Bills ahead of playing the Patriots http://t.co/HhXymntK8i #13WHAM
'649014051125727232'	Falcons sign Shuler, released Polumbus http://t.co/zOzHOMKu9e
'647893673204563968'	RT @HeraldSports: Miami Dolphins face identity crisis as rival Buffalo Bills come to town http://t.co/4MBxJGvTwT http://t.co/hVD9sCk6NC
'646377821804339204'	FCA names former stockbroker as COO http://t.co/v1eftQKM6b
'644988494755033088'	We're excited to have these three former @CanesFootball players as honorary captains! #BeatNebraska http://t.co/BT7x2zaayj
'648233831053455360'	RT @AndyTWCNews: Charles Clay makes the catch on the #Bills first offensive play, his first since leaving #Dolphins for Buffalo.
'647198910163886080'	Staff predictions: Miami #Dolphins vs. Buffalo Bills http://t.co/rUYJKCgU2b http://t.co/8gAYHEf2LN
'645620988369965056'	Coach Rex Ryan had plenty to say ahead of the Buffalo Bills-New England Patriots game: http://t.co/LQqQUH2FKo http://t.co/Y9pNjz6biu
'645710866340425729'	RT @joshcascio: Sorry Rex Ryan... Not today
'643109956149977088'	A holding call just saved the start of the Rex Ryan era in Buffalo with the #Bills. Colts punt instead of FG or TD #INDvsBUF
'640011749735829505'	GAME DAYGAME DAYGAME DAYGAME DAY#UGA #UGA #UGA #UGA
'646184988619223040'	@Kahjahkins Not the game, not the game, not the game...
'645266697532887040'	Unconventional Preview: Rex Ryan’s success vs. Patriots is exaggerated, but Bills’ progress is not http://t.co/rGsYQljbrm
'646506380850016256'	TIE GAME! TIE GAME!
'638929873809993728'	Rex Ryan says the Buffalo Bills will be his last coaching job http://t.co/pesY7k8mSU
'648230100232749057'	.@salmaiorana: Both D-lines key in Bills-Dolphins game http://t.co/IjGeVPdsIJ #Bills http://t.co/BvYI7cmZO4
'643157762139099137'	Rex Ryan wins his 1st game as the @buffalobills’ head coach! http://t.co/M2Pv618N1a
'645687105964912640'	Scenes from Buffalo: the New England Patriots take on Rex Ryan and the Bills http://t.co/CST9me9hTj http://t.co/7egHPQ2H2f
'638777581278470144'	RT @AndyTWCNews: #Bills Rex Ryan says none of the starters will play Thursday against Detroit. @TWCNewsBuffalo
'643053039218241537'	Game day  #bills http://t.co/dSeT7z9QVG
'645626009094590464'	Buffalo. Your scansion game. Woof.
'647876864099418116'	Good game good game
'648233073855889408'	#Bills first target? Charles Clay, the former #Dolphin. Also playing against his former team is Richie Incognito.  #BillsvsDolphins
'643753747634589696'	5 things you have to know about Bills: Rex Ryan has Buffalo in a frenzy http://t.co/qhFhtgxC9h
'648281718085042176'	RT @SSMiamiDolphins: Dave Hyde 10 quick thoughts on Rex Ryan and his ex-Dolphins-peppered Bills team crushing Miami 41-14 -- http://t.co/Jj…
'646066186644361216'	SCJ News: Williams reports to Bills facility day after hurting neck: Buffalo Bills coach Rex Ryan says it was ... http://t.co/W3QukkTPWZ
'648269867028738048'	A Miami Dolphins fan yells at the team to get in the game before the end of the first half… http://t.co/K0dfpHOn66 http://t.co/PH5tx52KgN
'648242488814075904'	Ryan Tannehill is intercepted on a pass dropped by Jarvis Landry --- #Bills take over up 14-0 over the #Dolphins
'643058682733981697'	@LukeRussert Going to the Bills game?
'648186304900001792'	RT @4JoshReed: On the way to the stadium. Bills at Dolphins week 3 http://t.co/I0zdxC6ixQ
'642110330101862403'	How will @buffalobills fans react to Rex Ryan calling them out? Should be a great game this Sunday at Ralph Wilson Stadium!
'641023629904494592'	RT @tclessard: Go Falcons. RT @TheFalcoholic: Tyler Polumbus is to pass protection as sunscreen is to stopping a bear attack.
'643345973637283840'	NFL Round-up: Rex Ryan’s ‘build a bully’ vision pays off http://t.co/XmoZud1j0y via @IrishTimesSport http://t.co/n7KTypHTNk
'647501739814326272'	RT @viccarucci: Rex Ryan: #Bills leaning on TE Charles Clay for some #Dolphins offensive info. http://t.co/2Ad6zkdS39
'648241816236638208'	RT @JKepnerWFTV: Bills and Dolphins have run the same number of plays (13) but Buffalo has 113 more yards and leads 14-0.
'648277546518188033'	We've reached the 2 minute warning in Miami with the #Dolphins trailing the #Bills 41-14. #FinsOn4
'643409898152267776'	Rex Ryan can’t wait for Patriots to come to Buffalo, Bills fans chant ‘We Want Brady’ http://t.co/O8mlIABazu http://t.co/Am9Drujvme
'639577247591100420'	From left to right, the starting O-line: Polumbus, Person, Stone, Chester, Schraeder. #BALvsATL
'648233836325662722'	Charles Clay with a TD catch for the #Bills --- they lead the #Dolphins 7-0 in the first quarter
'648686132977401856'	Bills blast Dolphins in Sunday's game http://t.co/mwHGqL22Hb #13WHAM
'643686087190142976'	Rex Ryan Can’t Wait For ‘Hated Patriots’ In Week 2: ‘They’re Still The Hunted’: Buffalo Bills head coach Rex Ryan… http://t.co/XMhGekFQWS
'641464378978467840'	Game week baby!!
'648318747598438402'	Buffalo Bills win at Miami Dolphins, but South Fort Myers graduate Sammy Watkins injured.  http://t.co/iYyidvmjle http://t.co/jitDesFzSR
'645751055779688448'	Rex Ryan On Dion Lewis: ‘I Still Don’t Know His Name’: Rex Ryan hates Dion Lewis. http://t.co/QTk58pULQ7
'648280181359165440'	Bills win on the road, defeating Dolphins 41-14.  See photos: http://t.co/j4s3sbaOOG
'645743819732946944'	RT @TBNSports: What They Said: Transcript of Rex Ryan's comments after #Bills' 40-32 loss to #Patriots: http://t.co/FxbSHAqQgN http://t.co/…
'643920670380920832'	Buffalo #Bills cut Bryce Brown
'649351851465404416'	Been asked a few times, as of now #Broncos don't have interest in OT Tyler Polumbus. The #Falcons released the former #CUBuff this week
'646176655149547520'	I lost... Because Rex Ryan's defense gave me -5... Jets Defense gave her 15 
'643159815645229056'	Welcome to the Rex Ryan era in Buffalo! Bills beat Colts, 27-14. The last 7 coaches lost their debut with the team. http://t.co/LEnstS8JF1
'648265206968254464'	#Bills punt but #Dolphins flagged for knocking down the punter. Free 1st down for Buffalo. That's so Dolphins! #FinsOn4
'648238431139680256'	#Bills up 14-0 over the #Dolphins with 6:03 left in the 1st quarter. #FinsOn4
'648590513763844096'	Much improved game plan by Roman for Fins game. Hope it continues. #Bills
'649043291212656640'	@Aleen GAME SHOW GAME SHOW GAME SHOW
'638886612273901569'	Rex Ryan has his 'Swag' backhttp://t.co/4r3yjoDWvD
'645043140198596608'	Rollins Stone: The Rex Ryan Playbook: Building a Winner in Buffalo, One Wing at a Time http://t.co/hZEYCIf6Rl
'648285130965024768'	RT @HeraldSports: The Miami Dolphins lose to the Buffalo Bills, 41-14.
----------
With article id: 96dea64b-8da0-43d3-a15f-5ba682635881 and link: http://www.benzinga.com/pressreleases/15/09/b5869421/energen-to-participate-in-deutsche-bank-energy-one-on-one-corporate-day
'643258705136472064'	RT @EskimoAdverts: Quaker State Oil Refining Corporation. United States. Undated"Flows freely when it's cold." http://t.co/D448YECJMe
'646168647514390528'	30,000 workers are required for the construction of an oil pipeline in the oil and gas sector: http://t.co/ivsddsCOen
'639039025635041280'	Deutsche Bank trading executive departs http://t.co/QQgFuXjnTr
'643666316142882816'	Corporation tax: FY17 might see 1-1.5% cut@dilasha http://t.co/FVsgGC9HBN
'646544792852168704'	On CNBC-TV18 Deutsche Bank: China In A Strutural Shift From Investment To Consumption @CNBCTV18Live
'643796432156160002'	Indian Oil Corporation to invest Rs 1.75 trillion over 7 years http://t.co/NnvHmo3NCp
'639072371941482496'	RT @reportingLibya: #Libya National Oil Corporation statement on reported incident at Melittah gas terminal west Libya http://t.co/2RUhVDd3…
'641706264783945729'	Deutsche Bank has seven reasons the Fed won't raise rates next week. This is one of them. http://t.co/IX4wPgomJd http://t.co/ecI9FCyK1l
'648538680370397184'	RT @RAN: .@chevron, one of the largest energy companies in the world &amp; one of the worst corporate actors in the Bay Area #FloodtheSystem #F…
'648600814836129792'	The #pasenate stands in recess and will reconvene tomorrow, September 29,  at 1:00 p.m.
'644228217528799233'	Railroad Commissioner Christi Craddick is in the Basin speaking on oil and gas and where the Permian Basin is at.... http://t.co/guzhqE53cm
'638965254530179072'	#Libya National Oil Corporation statement on reported incident at Melittah gas terminal west Libya http://t.co/2RUhVDd3bJ
'644183750020980736'	Tower Resources signs Cameroon oil and gas exploration deal: … gas exploration deal with the Cameroon government.… http://t.co/F8mR2c77Ng
'648394962246176768'	Election of the rep of the constituent bodies will be held on Monday with the election of the reps of Premier &amp; Division One set for Tuesday
'639555982406774784'	Oil Company Agrees to Mackinac Straits Heavy Crude Oil Ban http://t.co/UEAJfzdVqn
'640666301631852544'	Swede Stenson leads Fowler by one stroke at Deutsche Bank http://t.co/kScXWIuxY1
'645838498402975745'	"Radically, positive impact on society becomes part of a Benefit Corporation’s legally defined goals."
'639038995561848832'	Deutsche Bank trading executive departs http://t.co/BWo75sBtBM
'639705849338941440'	Why One German's Misery in Dublin Is Good for Deutsche Bank http://t.co/dsVqjjEUZk via @daradoy
'648145164586876928'	"It was a hawkish hold after all" -- Deutsche Bank
