With article id: 1478bf7b-1c23-4235-9ed2-b8c287fc952c and link: http://www.reuters.com/finance/stocks/INWN.NS/key-developments/article/3268357
'638590509603274752'	Inox Wind Says: Will Be Responsible For Entire Project Lifecycle @CNBCTV18Live
'638590310474457088'	just In: Inox Wind Bags 100 MW Order From Ostro Energy @CNBCTV18Live
'642558373901283328'	65 casualties from gas explosion, Madhya Pradesh. https://t.co/QNuoOcco2K
'638602964148584448'	First On CNBC-TV18 Inox Wind: 100 MW Order Bagged From Ostro Energy Is Worth Rs 600-650 Cr @CNBCTV18Live
'646580474991656960'	just In: Suzlon Energy Bags 105 MW Turnkey Orders: Suzlon Energy 20.70 Unch @CNBCTV18Live
'638602186230923265'	First On CNBC-TV18 Inox Wind: Order Book Increases To 1,250 MW Post Ostro Energy Order @CNBCTV18Live
'646944358327947264'	Vyapam Scam: CBI Conducts Raids in Uttar Pradesh, Madhya Pradesh - NDTV http://t.co/mtzcboguBH
'640813008814346240'	#india #business : Madhya Pradesh to enhance investment policies to compete with East Asia: Madhya Pradesh wil... http://t.co/LduXFc0lqu
'646935455716368386'	#Vyapam scam: CBI conducts raids at 40 places in Uttar Pradesh &amp; Madhya Pradesh
'638632291753926656'	RT @doug_parr: Dutch railway to run on 100% wind energy by 2018 http://t.co/YtO69jPSfI
'638593402930524160'	INOXWIND - Inox Wind Bags 100 MW Order from OSTRO Energy http://t.co/PxDAnQiIjV
'638602660191567872'	First On CNBC-TV18 Inox Wind: FY16 Margins Likely To Be In Range Of 15-20% @CNBCTV18Live
'641525518874054656'	A 50 MW offshore wind energy project is currently on and under assessment: Piyush Goyal
'641829956670980097'	Offshore Policy will open #opportunities in medium term: INOX Wind http://t.co/ouIev55ntY
'638638558429900800'	Inox Wind bags 100 MW power project from Ostro Energy http://t.co/sAHA1uxdpP
'649098448768225281'	Inox Wind wins 50 mw Turnkey order from GMDC.
'638601950070575104'	First On CNBC-TV18 Inox Wind: Have Bagged 100 MW Order From Ostro Energy @CNBCTV18Live
'641830619262009344'	Do not see #pilot project coming up before 3-5 years: INOX Wind http://t.co/pnuYwzWcXO
'638602427340595200'	First On CNBC-TV18 Inox Wind: Expect To Complete Ostro Energy Order By March 2016 @CNBCTV18Live
'638591013737623552'	Inox Wind Says: 100 MW Project Will Be A Part Of 'Inox Wind Park' 200 MW Capacity At Lahori @CNBCTV18Live
'638894142714572801'	Which states - if any - will follow the lead of Rajasthan &amp; Madhya Pradesh? https://t.co/WYCHlzme8m
'646982441735954432'	#Vyapam scam: CBI conducts raids in 40 places in Madhya Pradesh and Uttar Pradesh http://t.co/yK7iE0Maeh
----------
With article id: 4e74bbed-b449-48a8-a71c-f70499105289 and link: http://www.ibtimes.co.uk/china-man-uses-broom-save-toddler-hanging-window-video-1518034
'638714775137054720'	JUST IN: The driver in a crash that killed a toddler and newborn in Pender County has been indicted.http://t.co/VY3chZzynS
'640881601660850176'	Secretary-General Meets the Party Secretary of Shandong Province http://t.co/Gq7e6W7L2Z #UN
'648543438128984064'	Religious Double Shafras are double annoying.
'642142263016062976'	Toddler tumbles out second-story window: http://t.co/G3iihI3Jgk
'648945440239411200'	Toddler falls from 3rd-story window, suffers a broken jaw http://t.co/lJCxJkMAxo http://t.co/i1Tk0Gnn9K
'641902415592222720'	Man dies after plunging from fourth floor window in Aberdeen http://t.co/RZdNbGrY8q http://t.co/PAKSkUZ0P5
'642255291896102912'	Window seat ✈️
'642429992496951297'	MT @PurdueSports: If you are planning on going to @BoilerFootball, get your $5 tix online ahead of time! Prices double at the window to $10
'638792595301376000'	RT @GameYetu: Transfer window CLOSED!!!!!
'638551081279205376'	More trouble on the world's factory floor: "Blast rips through industrial zone in China’s Shandong province" http://t.co/1ecMOfSX9c @WSJ
'638663896216174592'	#HERO Saves #toddler Dangling From 4th-Floor Window Using Only A Mop http://t.co/D5Wlh3NIEv http://t.co/Fo4VLEK2Ek http://t.co/oTwuoE50MJ
'640392444857548801'	RT @DLin71: My toddler threw a tantrum and called people “stupidheads.” I told her to behave or else she would end up the front-runner for …
'638539518564528128'	@KevinGArmstrong just saw you out my window. People in my car think I'm the weird dude banging on the window.
'639011177050316800'	Chemical plant blast kills 5 in Shandong http://t.co/jiUqRxVV1w
'646701780269670400'	Detective said the man was pushed from a 9th floor window.
'639405690180661248'	Transfer Window: Ayew overshadows other Ghanaians; Talking points from the ended window: The transfer window h... http://t.co/pBpukcWpAk
'641157937327509504'	China's first Diaoyu Islands museum opens in Shandong http://t.co/x8Nhn9kNPl
'638542908581376000'	RT @WSJAsia: Blast rips through industrial zone in China’s Shandong provincehttp://t.co/k05rwIzduq
'642619224083464192'	A super dorado, 309.5 kg heavy and 4.1 meters long, was captured today in Qingdao of E China's Shandong. http://t.co/GWY8jd4XcX
'647428985744420865'	Pelosi said she called Boehner this morning to ask how the CR was going, was told he was in a meeting and would get back to her....
'649249297612034048'	Toddler hospitalized after falling from an East Hartford apartment window, police said http://t.co/T51wBpTOMu
'638683107428667392'	Kitten Jumps From Third-Floor Window, Escapes Cat-Filled Apartment: Neighbors held pillows under the window to save… http://t.co/n82on7TVQs
'638696782537494528'	@mjl1970 that's out the window
'643697263731208192'	Met Shandong Vice Governor on investing the province and facilitating local enterprises in going global on Wed, Sep 9 http://t.co/akQe3HV4zN
